case_id,source,source_url,title,username_forum,username_rollbit,country,post_date,captured_at,amount_usd,amount_currency,amount_native,amount_status,category,status,counted_in_totals,confidence_score,cross_post_group,alternate_urls,notes_on_verification,summary,rollbit_response
BTC-011,bitcointalk,https://bitcointalk.org/index.php?topic=5412105.0,Deposited $330 via Ethereum,basedin2,,,2022-09-02,2026-04-19T00:00:00Z,330.0,USD,,confirmed,multiple_accounts_accusation,UNRESOLVED,True,0.65,,,Imported from the repository's prior corpus with a direct public source URL.,"Deposited $330 via Ethereum. Placed minimal $10 wager at 1.01 odds. After withdrawal request and KYC approval, admin 'Razer' declared 'We don't accept fraud here unfortunately, funds are forfeited' with dismissive GIF. Account deleted.","Razer: 'We don't accept fraud here unfortunately, funds are forfeited' + GIF"
BTC-003,bitcointalk,https://bitcointalk.org/index.php?topic=5419674.0,"Deposited $10,000 BTC after sportsbook launch",Lak93xy,,,2022-11-06,2026-04-19T00:00:00Z,10000.0,USD,0.48534854 BTC,confirmed,multiple_accounts_accusation,UNRESOLVED,True,0.9,,,Imported from the repository's prior corpus with a direct public source URL.,"Deposited $10,000 BTC after sportsbook launch. Claims support confirmed multi-accounting and VPN usage were permitted. Account immediately limited upon placing bets. Withdrawal denied citing mandatory wagering requirements.",Admin 'Razer' responded: 'We appreciate you depositing some of the funds back' - interpreted as mocking.
BTC-012,bitcointalk,https://bitcointalk.org/index.php?topic=5447471.0,Balance of $350 disappeared suddenly during slot play,Memog229,,,2023-04-03,2026-04-19T00:00:00Z,350.0,USD,,confirmed,account_closure,UNRESOLVED,True,0.65,,,Imported from the repository's prior corpus with a direct public source URL.,Balance of $350 disappeared suddenly during slot play. Support claimed 'no issues with your balance'. OP posted YouTube video evidence but deleted account before resolution. Community skeptical due to visual bug-like behavior in video.,
BTC-001,bitcointalk,https://bitcointalk.org/?topic=5449402.0,Account permanently disabled,Stakemeharder,,,2023-04-15,2026-04-19T00:00:00Z,10200.0,USD,,confirmed,sportsbook_abuse,UNRESOLVED,True,0.85,,,Imported from the repository's prior corpus with a direct public source URL.,"Account permanently disabled. Rollbit claimed 'sportsbook abuse' for value-betting at low odds (1.003-1.02) to qualify for rakeback rewards. Rollbit admin 'Razer' justified seizure saying user 'finished in profit on Rollbit'. User had bet history across CSGO, MMA, basketball, Dota 2, esports.","Razer stated: 'standard Sportsbook abuse case, flagged by our Sportsbook provider. They were prolifically abusing bonus features. This was not at the expense of the player as they finished in profit.'"
BTC-002,bitcointalk,https://bitcointalk.org/index.php?topic=5463996.40,User fully KYC verified before depositing,cryptoshisha,,,2023-06-01,2026-04-19T00:00:00Z,30211.0,USD,,confirmed,multiple_accounts_accusation,UNRESOLVED,True,0.75,,,Imported from the repository's prior corpus with a direct public source URL.,"User fully KYC verified before depositing. After sports betting wins, accused of multi-accounting. Support stopped responding to withdrawal requests for months.",Razer cited multi-account violations. Offered referral to Curacao licensing authority.
BTC-006,bitcointalk,https://bitcointalk.org/index.php?topic=5471380.0,Deposited via company hot wallet through FTX partnership in July 2022,ineedhelpplease,,,2023-10-23,2026-04-19T00:00:00Z,5200.0,USD,,confirmed,account_closure,UNRESOLVED,True,0.85,,,Imported from the repository's prior corpus with a direct public source URL.,"Deposited via company hot wallet through FTX partnership in July 2022. After 15-month lock and KYC including video call with 'SmokeyLisa', Rollbit sent withdrawal to original FTX deposit address without confirming access. FTX had collapsed, making address inaccessible. User provided Exodus wallet alternative during verification but was ignored.",
BTC-010,bitcointalk,https://bitcointalk.org/index.php?topic=5489760.60,"Belgian user, 2+ years on platform, wagered ~$125,000",Maxkej,,,2024-03-01,2026-04-19T00:00:00Z,27000.0,USD,,confirmed,restricted_country,RESOLVED,True,0.65,,,Imported from the repository's prior corpus with a direct public source URL.,"Belgian user, 2+ years on platform, wagered ~$125,000. Won $27,000. Belgium added to restricted countries after account creation without notification. Was honest with support about situation. Withdrawal eventually processed, then IP banned.",
BTC-007,bitcointalk,https://bitcointalk.org/index.php?topic=5489049.0,"Won ~$4,000 on sportsbook",rockybalboa-cook,,,2024-03-15,2026-04-19T00:00:00Z,8500.0,USD,25.7 SOL,confirmed,kyc_delay_tactic,RESOLVED,True,0.65,,,Imported from the repository's prior corpus with a direct public source URL.,"Won ~$4,000 on sportsbook. Withdrawal of 25.7 SOL requested. Additional $4,500 deducted from balance. After posting complaint, resolved within 1 day after 'hell of verification and details'.",
TP-042,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"Scammed of EUR 17,954","Trustpilot reviewer (17,954 EUR)",,,2024-04-22,2026-04-19T00:00:00Z,19749.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Scammed of EUR 17,954. Filed police report. Going to court. Lawyer reached out. Platform's own lawyer allegedly stated they were illegal. Claims it is illegal to operate under Curacao licence in UK/Europe.",
TP-014,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$4,000+ in account",sports betta,,,2024-07-16,2026-04-19T00:00:00Z,4000.0,USD,,claimed,sportsbook_abuse,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$4,000+ in account. Permanently banned after winning consistently on sports betting within two weeks.",
BTC-005,bitcointalk,https://bitcointalk.org/index.php?topic=5503600.0,"Won over $50,000 from Spain vs England Euro 2024 sports betting",throwaccount58,,,2024-07-20,2026-04-19T00:00:00Z,55000.0,USD,,confirmed,winning_block,UNRESOLVED,True,0.8,,,Imported from the repository's prior corpus with a direct public source URL.,"Won over $50,000 from Spain vs England Euro 2024 sports betting. 2.5+ year user, ~$80,000 total losses prior. Account locked immediately after win for KYC. Completed KYC levels 1-5 including proof of income. Muted in public chat for discussing KYC status. Lost $3,000 in missed daily rakeback ($400-500/day) during suspension. After 6 days, told 'third-party investigation' in progress.",Claimed 'formal request from third-party' for the account. Directed to legal@rollbit.com.
BTC-009,bitcointalk,https://bitcointalk.org/index.php?topic=5504738.0,Played from Spain (restricted country) for 3-4 months,clinexrino,,,2024-07-31,2026-04-19T00:00:00Z,5000.0,USD,,confirmed,restricted_country,UNRESOLVED,True,0.65,,,Imported from the repository's prior corpus with a direct public source URL.,"Played from Spain (restricted country) for 3-4 months. Made ~100 bets. 5 successful withdrawals while unprofitable. When requested EUR 5,000 withdrawal after becoming profitable, KYC triggered. Support member 'Benji' stated: 'you are in significant profit here on Rollbit. The funds have been forfeited.'",Selective enforcement - allowed deposits and losing play from restricted country but blocked profitable withdrawal.
TP-022,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$1,200 deposit seized",Paul,,,2024-10-26,2026-04-19T00:00:00Z,1200.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$1,200 deposit seized. Banned for 'ban evasion' related to friend's account KYC.",
